Date : 2025-04-09 14:22:33
Directory : /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project
Total : 113 files,  68139 codes, 635 comments, 9380 blanks, all 78154 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |         31 |     44,071 |        325 |      7,743 |     52,139 |
| JSON               |          7 |     10,578 |          0 |          7 |     10,585 |
| Vue                |         47 |     10,287 |        176 |      1,115 |     11,578 |
| CSS                |          9 |      2,449 |         77 |        413 |      2,939 |
| TypeScript         |         11 |        683 |         47 |         90 |        820 |
| HTML               |          1 |         23 |          1 |          1 |         25 |
| JSON with Comments |          1 |         21 |          0 |          1 |         22 |
| XML                |          3 |         12 |          1 |          0 |         13 |
| Docker             |          1 |          8 |          8 |          8 |         24 |
| Makefile           |          2 |          7 |          0 |          2 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        113 |     68,139 |        635 |      9,380 |     78,154 |
| . (Files)                                                                                                                         |          1 |          6 |          0 |          1 |          7 |
| server                                                                                                                            |         31 |      8,105 |        237 |        613 |      8,955 |
| server (Files)                                                                                                                    |          7 |      5,383 |         66 |         86 |      5,535 |
| server/middleware                                                                                                                 |          1 |         71 |          5 |         23 |         99 |
| server/models                                                                                                                     |          7 |        219 |          3 |         29 |        251 |
| server/routes                                                                                                                     |          9 |      2,310 |        151 |        451 |      2,912 |
| server/utils                                                                                                                      |          7 |        122 |         12 |         24 |        158 |
| ui                                                                                                                                |         81 |     60,028 |        398 |      8,766 |     69,192 |
| ui (Files)                                                                                                                        |         11 |      6,185 |         11 |         20 |      6,216 |
| ui/public                                                                                                                         |          2 |     40,422 |         87 |      7,130 |     47,639 |
| ui/src                                                                                                                            |         68 |     13,421 |        300 |      1,616 |     15,337 |
| ui/src (Files)                                                                                                                    |          4 |        229 |         24 |         45 |        298 |
| ui/src/assets                                                                                                                     |         10 |      2,295 |         59 |        379 |      2,733 |
| ui/src/assets (Files)                                                                                                             |          2 |         11 |          1 |          0 |         12 |
| ui/src/assets/styles                                                                                                              |          8 |      2,284 |         58 |        379 |      2,721 |
| ui/src/components                                                                                                                 |         29 |      5,520 |         56 |        638 |      6,214 |
| ui/src/components (Files)                                                                                                         |          1 |        129 |          0 |         23 |        152 |
| ui/src/components/add-reimbursement                                                                                               |         11 |      2,780 |         37 |        358 |      3,175 |
| ui/src/components/admin                                                                                                           |          1 |         32 |          0 |          3 |         35 |
| ui/src/components/dashboard                                                                                                       |         11 |      1,744 |         17 |        168 |      1,929 |
| ui/src/components/manage-foapa                                                                                                    |          1 |        411 |          0 |         45 |        456 |
| ui/src/components/signup-flow                                                                                                     |          3 |        379 |          0 |         38 |        417 |
| ui/src/components/utilities                                                                                                       |          1 |         45 |          2 |          3 |         50 |
| ui/src/pages                                                                                                                      |         17 |      4,749 |        120 |        473 |      5,342 |
| ui/src/router                                                                                                                     |          1 |        227 |          3 |          8 |        238 |
| ui/src/store                                                                                                                      |          1 |         11 |          1 |          3 |         15 |
| ui/src/types                                                                                                                      |          1 |        137 |          3 |         13 |        153 |
| ui/src/utils                                                                                                                      |          5 |        253 |         34 |         57 |        344 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                          | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/package-lock.json                                                   | JSON               |          6 |          0 |          1 |          7 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/Makefile                                                     | Makefile           |          2 |          0 |          0 |          2 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/app.js                                                       | JavaScript         |         44 |         12 |         11 |         67 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/db.js                                                        | JavaScript         |         21 |          0 |          3 |         24 |
